plr_id,plr_name,svb_vollzeit,medianeinkommen,bez_id,bez_name,pgr_id,pgr_name,bzr_id,bzr_name
4501149,Nikolsburger Platz,2172,4927,4,Charlottenburg-Wilmersdorf,450,Wilmersdorf Zentrum,45011,Volkspark Wilmersdorf
4501150,Wilhelmsaue,691,4568,4,Charlottenburg-Wilmersdorf,450,Wilmersdorf Zentrum,45011,Volkspark Wilmersdorf
4501151,Hildegardstraße,1811,4589,4,Charlottenburg-Wilmersdorf,450,Wilmersdorf Zentrum,45011,Volkspark Wilmersdorf
4501152,Prager Platz,1558,4572,4,Charlottenburg-Wilmersdorf,450,Wilmersdorf Zentrum,45011,Volkspark Wilmersdorf
4501153,Babelsberger Straße,1878,4515,4,Charlottenburg-Wilmersdorf,450,Wilmersdorf Zentrum,45011,Volkspark Wilmersdorf
5100101,Hakenfelde Nord,984,4214,5,Spandau,510,Spandau Mitte / Nord,51001,Hakenfelde
5100102,Am Forstacker,965,3468,5,Spandau,510,Spandau Mitte / Nord,51001,Hakenfelde
5100103,Mertensstraße,1492,3589,5,Spandau,510,Spandau Mitte / Nord,51001,Hakenfelde
5100104,Maselake,1588,3732,5,Spandau,510,Spandau Mitte / Nord,51001,Hakenfelde
5100105,Amorbacher Weg,1694,3769,5,Spandau,510,Spandau Mitte / Nord,51001,Hakenfelde
5100206,Griesingerstraße,548,3128,5,Spandau,510,Spandau Mitte / Nord,51002,Falkenhagener Feld
5100207,An der Tränke,585,4254,5,Spandau,510,Spandau Mitte / Nord,51002,Falkenhagener Feld
5100208,Im Spektefeld,2060,3168,5,Spandau,510,Spandau Mitte / Nord,51002,Falkenhagener Feld
5100209,Westerwaldstraße,2299,3129,5,Spandau,510,Spandau Mitte / Nord,51002,Falkenhagener Feld
5100210,Germersheimer Platz,1900,3186,5,Spandau,510,Spandau Mitte / Nord,51002,Falkenhagener Feld
5100211,An der Kappe,1264,3672,5,Spandau,510,Spandau Mitte / Nord,51002,Falkenhagener Feld
5100312,Eckschanze,1023,3177,5,Spandau,510,Spandau Mitte / Nord,51003,Spandau Mitte
5100313,Eiswerder,1238,3623,5,Spandau,510,Spandau Mitte / Nord,51003,Spandau Mitte
5100314,Kurstraße,1592,3096,5,Spandau,510,Spandau Mitte / Nord,51003,Spandau Mitte
5100315,Ackerstraße,1719,3461,5,Spandau,510,Spandau Mitte / Nord,51003,Spandau Mitte
5100316,Carl-Schurz-Straße,2575,3341,5,Spandau,510,Spandau Mitte / Nord,51003,Spandau Mitte
5100317,Freiheit,804,3333,5,Spandau,510,Spandau Mitte / Nord,51003,Spandau Mitte
5200418,Isenburger Weg,883,4403,5,Spandau,520,Wilhelmstadt / Staaken,52004,Brunsbütteler Damm
5200419,Am Heideberg,383,,5,Spandau,520,Wilhelmstadt / Staaken,52004,Brunsbütteler Damm
5200420,Staakener Straße,1216,3854,5,Spandau,520,Wilhelmstadt / Staaken,52004,Brunsbütteler Damm
5200421,Spandauer Straße,941,3412,5,Spandau,520,Wilhelmstadt / Staaken,52004,Brunsbütteler Damm
5200422,Werkstraße,337,,5,Spandau,520,Wilhelmstadt / Staaken,52004,Brunsbütteler Damm
5200423,Magistratsweg,1325,3135,5,Spandau,520,Wilhelmstadt / Staaken,52004,Brunsbütteler Damm
5200524,Döberitzer Weg,814,4066,5,Spandau,520,Wilhelmstadt / Staaken,52005,Heerstraße
5200525,Pillnitzer Weg,638,4017,5,Spandau,520,Wilhelmstadt / Staaken,52005,Heerstraße
5200526,Rudolf-Wissell-Großsiedlung,1028,2806,5,Spandau,520,Wilhelmstadt / Staaken,52005,Heerstraße
5200527,Maulbeerallee,1564,2886,5,Spandau,520,Wilhelmstadt / Staaken,52005,Heerstraße
5200528,Weinmeisterhornweg,1386,3716,5,Spandau,520,Wilhelmstadt / Staaken,52005,Heerstraße
5200629,Borkumer Straße,1990,3698,5,Spandau,520,Wilhelmstadt / Staaken,52006,Wilhelmstadt
5200630,Wilhelmstadt West,2426,3456,5,Spandau,520,Wilhelmstadt / Staaken,52006,Wilhelmstadt
5200631,Wilhelmstadt Ost,2177,3386,5,Spandau,520,Wilhelmstadt / Staaken,52006,Wilhelmstadt
5200632,Tiefwerder,698,3404,5,Spandau,520,Wilhelmstadt / Staaken,52006,Wilhelmstadt
5200633,Graetschelsteig,403,,5,Spandau,520,Wilhelmstadt / Staaken,52006,Wilhelmstadt
5200634,Börnicker Straße,787,4255,5,Spandau,520,Wilhelmstadt / Staaken,52006,Wilhelmstadt
5300735,Haveleck,1186,3774,5,Spandau,530,Haselhorst / Siemensstadt,53007,Haselhorst
5300736,Zitadellenweg,790,3537,5,Spandau,530,Haselhorst / Siemensstadt,53007,Haselhorst
5300737,Gartenfelder Straße,2650,3290,5,Spandau,530,Haselhorst / Siemensstadt,53007,Haselhorst
5300838,Gartenfeld,,,5,Spandau,530,Haselhorst / Siemensstadt,53008,Siemensstadt
5300839,Rohrdamm,,,5,Spandau,530,Haselhorst / Siemensstadt,53008,Siemensstadt
