bez_id,pgr_id,plr_id,total,under_6,6-15,15-18,18-27,27-45,45-55,55-65,65_or_more,female,foreigner,year,bzr_id
4,440,4400725,107.0,3.0,,,12.0,46.0,25.0,9.0,12.0,40.0,65.0,2021,
4,440,4400726,5298.0,277.0,494.0,158.0,386.0,1037.0,710.0,707.0,1529.0,2715.0,1209.0,2021,
4,440,4400727,8251.0,400.0,554.0,148.0,760.0,2055.0,1093.0,1217.0,2024.0,4393.0,1774.0,2021,
4,440,4400728,3066.0,167.0,242.0,70.0,190.0,577.0,415.0,439.0,966.0,1638.0,587.0,2021,
4,440,4400729,2832.0,147.0,205.0,78.0,224.0,432.0,365.0,430.0,951.0,1502.0,566.0,2021,
4,440,4400830,7100.0,426.0,607.0,204.0,570.0,1665.0,846.0,918.0,1864.0,3791.0,1464.0,2021,
4,440,4400831,1510.0,51.0,137.0,42.0,115.0,192.0,216.0,221.0,536.0,808.0,205.0,2021,
4,440,4400832,6813.0,307.0,462.0,138.0,540.0,1207.0,972.0,1071.0,2116.0,3771.0,857.0,2021,
4,440,4400833,4119.0,186.0,252.0,62.0,265.0,824.0,442.0,638.0,1450.0,2189.0,790.0,2021,
4,440,4400834,3512.0,150.0,236.0,61.0,317.0,783.0,431.0,556.0,978.0,1853.0,581.0,2021,
4,440,4400835,10341.0,474.0,709.0,245.0,889.0,2228.0,1407.0,1670.0,2719.0,5612.0,1596.0,2021,
4,450,4500936,5499.0,262.0,346.0,107.0,562.0,1390.0,743.0,802.0,1287.0,2828.0,1413.0,2021,
4,450,4500937,7503.0,328.0,396.0,131.0,676.0,1994.0,982.0,1155.0,1841.0,3845.0,1801.0,2021,
4,450,4500938,7894.0,411.0,498.0,126.0,683.0,2217.0,983.0,1091.0,1885.0,4071.0,2094.0,2021,
4,450,4500939,6461.0,352.0,425.0,143.0,634.0,1793.0,825.0,940.0,1349.0,3373.0,1603.0,2021,
4,450,4501040,5865.0,272.0,344.0,130.0,506.0,1547.0,785.0,950.0,1331.0,3022.0,1465.0,2021,
4,450,4501041,5175.0,223.0,292.0,99.0,384.0,1182.0,759.0,883.0,1353.0,2628.0,1250.0,2021,
4,450,4501042,3492.0,158.0,233.0,79.0,324.0,951.0,500.0,477.0,770.0,1697.0,1264.0,2021,
4,450,4501043,10890.0,509.0,710.0,202.0,957.0,2901.0,1332.0,1622.0,2657.0,5578.0,2766.0,2021,
4,450,4501044,5224.0,253.0,317.0,92.0,497.0,1311.0,616.0,749.0,1389.0,2725.0,1308.0,2021,
4,450,4501045,9019.0,368.0,497.0,147.0,780.0,2379.0,1243.0,1345.0,2260.0,4561.0,2603.0,2021,
4,450,4501146,4456.0,287.0,285.0,79.0,481.0,1292.0,546.0,615.0,871.0,2282.0,1094.0,2021,
4,450,4501147,5471.0,273.0,386.0,125.0,607.0,1531.0,704.0,802.0,1043.0,2790.0,1361.0,2021,
4,450,4501148,4291.0,234.0,335.0,86.0,450.0,1177.0,533.0,609.0,867.0,2202.0,1029.0,2021,
4,450,4501149,9732.0,482.0,633.0,213.0,905.0,2466.0,1219.0,1440.0,2374.0,5085.0,2311.0,2021,
4,450,4501150,3038.0,112.0,167.0,49.0,270.0,816.0,368.0,419.0,837.0,1615.0,689.0,2021,
4,450,4501151,7338.0,342.0,528.0,167.0,753.0,2001.0,980.0,1046.0,1521.0,3792.0,1323.0,2021,
4,450,4501152,6756.0,248.0,411.0,120.0,640.0,1709.0,914.0,967.0,1747.0,3402.0,1734.0,2021,
4,450,4501153,7353.0,401.0,509.0,162.0,739.0,2258.0,901.0,972.0,1411.0,3667.0,1840.0,2021,
5,510,5100101,4126.0,285.0,337.0,102.0,311.0,878.0,462.0,625.0,1126.0,2221.0,312.0,2021,
5,510,5100102,4264.0,207.0,265.0,80.0,362.0,844.0,477.0,686.0,1343.0,2297.0,594.0,2021,
5,510,5100103,5922.0,592.0,509.0,101.0,640.0,1968.0,623.0,629.0,860.0,2974.0,1718.0,2021,
5,510,5100104,4955.0,333.0,506.0,136.0,409.0,1306.0,580.0,591.0,1094.0,2580.0,1078.0,2021,
5,510,5100105,7511.0,338.0,493.0,184.0,638.0,1650.0,928.0,1283.0,1997.0,3859.0,722.0,2021,
5,510,5100206,3552.0,220.0,433.0,150.0,339.0,711.0,361.0,457.0,881.0,1894.0,871.0,2021,
5,510,5100207,2298.0,104.0,134.0,55.0,252.0,500.0,299.0,502.0,452.0,1190.0,252.0,2021,
5,510,5100208,10744.0,755.0,1043.0,329.0,1001.0,2505.0,1222.0,1345.0,2544.0,5514.0,2799.0,2021,
5,510,5100209,11756.0,750.0,1189.0,366.0,1194.0,2788.0,1389.0,1599.0,2481.0,6133.0,2882.0,2021,
5,510,5100210,7666.0,455.0,613.0,142.0,785.0,2164.0,995.0,1113.0,1399.0,3961.0,1855.0,2021,
5,510,5100211,6015.0,290.0,452.0,168.0,514.0,1206.0,803.0,983.0,1599.0,3036.0,997.0,2021,
5,510,5100312,4030.0,232.0,326.0,79.0,531.0,1141.0,506.0,539.0,676.0,2032.0,1119.0,2021,
5,510,5100313,6134.0,403.0,610.0,201.0,583.0,1453.0,677.0,655.0,1552.0,3222.0,1797.0,2021,
5,510,5100314,7362.0,538.0,728.0,225.0,926.0,2319.0,897.0,865.0,864.0,3440.0,3267.0,2021,
5,510,5100315,6878.0,468.0,572.0,171.0,863.0,2030.0,843.0,952.0,979.0,3336.0,2074.0,2021,
5,510,5100316,10259.0,645.0,775.0,251.0,1123.0,2971.0,1323.0,1451.0,1720.0,5233.0,2413.0,2021,
5,510,5100317,3575.0,241.0,355.0,104.0,390.0,1018.0,440.0,432.0,595.0,1730.0,1319.0,2021,
5,520,5200418,3824.0,159.0,341.0,133.0,372.0,635.0,590.0,922.0,672.0,1894.0,262.0,2021,
5,520,5200419,1664.0,70.0,100.0,33.0,127.0,332.0,192.0,301.0,509.0,868.0,21.0,2021,
5,520,5200420,5770.0,272.0,439.0,153.0,546.0,1082.0,753.0,1067.0,1458.0,2893.0,871.0,2021,
5,520,5200421,4295.0,284.0,416.0,133.0,440.0,1028.0,528.0,480.0,986.0,2176.0,756.0,2021,
5,520,5200422,1095.0,76.0,115.0,25.0,151.0,284.0,155.0,178.0,111.0,534.0,104.0,2021,
5,520,5200423,6583.0,444.0,599.0,165.0,573.0,1543.0,675.0,836.0,1748.0,3548.0,1303.0,2021,
5,520,5200524,3319.0,179.0,371.0,135.0,340.0,720.0,513.0,522.0,539.0,1706.0,377.0,2021,
5,520,5200525,2414.0,151.0,207.0,45.0,144.0,576.0,344.0,385.0,562.0,1254.0,222.0,2021,
5,520,5200526,5644.0,413.0,741.0,206.0,575.0,1407.0,643.0,621.0,1038.0,2847.0,2224.0,2021,
