bez_id,bez_name,pgr_id,pgr_name,plr_id,plr_name,total,under_6,6-15,15-18,18-27,27-45,45-55,55-65,65_or_more,female,foreigner
4,Charlottenburg-Wilmersdorf,403,CW 3,4030416,Klausenerplatz,10593,635.0,800.0,297.0,1171.0,2994.0,1500.0,1477,1719,5458.0,2846
4,Charlottenburg-Wilmersdorf,403,CW 3,6010102,Schloßstraße,10954,538.0,698.0,214.0,1136.0,3048.0,1555.0,1515,2250,5696.0,2587
4,Charlottenburg-Wilmersdorf,403,CW 3,4030518,Tegeler Weg,9561,441.0,468.0,152.0,1139.0,2982.0,1325.0,1419,1635,4870.0,2664
4,Charlottenburg-Wilmersdorf,403,CW 3,4030519,Kaiserin-Augusta-Allee,5908,314.0,364.0,89.0,675.0,1977.0,787.0,771,931,2889.0,1621
4,Charlottenburg-Wilmersdorf,403,CW 3,4030620,Alt-Lietzow,8928,434.0,513.0,154.0,888.0,2560.0,1184.0,1215,1980,4634.0,2425
4,Charlottenburg-Wilmersdorf,403,CW 3,4030621,Spreestadt,3172,136.0,186.0,57.0,431.0,1155.0,421.0,390,396,1461.0,1177
4,Charlottenburg-Wilmersdorf,403,CW 3,4030622,Richard-Wagner-Straße,10910,577.0,614.0,188.0,1122.0,3215.0,1423.0,1437,2334,5568.0,3105
4,Charlottenburg-Wilmersdorf,403,CW 3,4030623,Ernst-Reuter-Platz,5071,295.0,302.0,78.0,571.0,1629.0,649.0,600,947,2624.0,1673
4,Charlottenburg-Wilmersdorf,403,CW 3,4030724,Lietzensee,6576,298.0,345.0,128.0,653.0,1636.0,841.0,935,1740,3516.0,1562
4,Charlottenburg-Wilmersdorf,403,CW 3,4030725,Amtsgerichtsplatz,12431,610.0,738.0,289.0,1409.0,3524.0,1770.0,1773,2318,6314.0,3339
4,Charlottenburg-Wilmersdorf,403,CW 3,4030726,Droysenstraße,5735,282.0,305.0,133.0,530.0,1425.0,854.0,806,1400,2972.0,1635
4,Charlottenburg-Wilmersdorf,403,CW 3,4030827,Karl-August-Platz,12303,601.0,741.0,211.0,1472.0,3754.0,1699.0,1613,2212,6053.0,4432
4,Charlottenburg-Wilmersdorf,403,CW 3,4030828,Savignyplatz,9671,402.0,466.0,158.0,1022.0,2726.0,1425.0,1431,2041,4840.0,2952
4,Charlottenburg-Wilmersdorf,403,CW 3,4030929,Hindemithplatz,6061,248.0,378.0,108.0,495.0,1618.0,875.0,1011,1328,3112.0,1641
4,Charlottenburg-Wilmersdorf,403,CW 3,4030930,George-Grosz-Platz,5736,249.0,320.0,101.0,472.0,1320.0,902.0,909,1463,2826.0,1697
4,Charlottenburg-Wilmersdorf,403,CW 3,4030931,Breitscheidplatz,3725,180.0,217.0,60.0,272.0,1078.0,547.0,512,859,1799.0,1488
4,Charlottenburg-Wilmersdorf,403,CW 3,4031032,Halensee,15756,713.0,863.0,288.0,1411.0,4190.0,2182.0,2259,3850,8053.0,4195
4,Charlottenburg-Wilmersdorf,404,CW 4,4041133,Güterbahnhof Grunewald,106,,,3.0,25.0,40.0,23.0,3,12,34.0,72
4,Charlottenburg-Wilmersdorf,404,CW 4,4041134,Bismarckallee,5323,271.0,422.0,114.0,393.0,1103.0,801.0,705,1514,2740.0,1189
4,Charlottenburg-Wilmersdorf,404,CW 4,4041135,Hundekehle,2811,109.0,203.0,70.0,190.0,470.0,393.0,407,969,1477.0,574
4,Charlottenburg-Wilmersdorf,404,CW 4,4041136,Hagenplatz,3130,160.0,229.0,98.0,211.0,556.0,426.0,427,1023,1673.0,630
4,Charlottenburg-Wilmersdorf,404,CW 4,4041137,Flinsberger Platz,8338,402.0,537.0,157.0,727.0,2034.0,1176.0,1181,2124,4458.0,1807
4,Charlottenburg-Wilmersdorf,404,CW 4,4041238,Kissinger Straße,6114,331.0,526.0,125.0,486.0,1198.0,879.0,766,1803,3295.0,1050
4,Charlottenburg-Wilmersdorf,404,CW 4,4041239,Stadion Wilmersdorf,319,35.0,28.0,9.0,55.0,101.0,42.0,37,12,126.0,212
4,Charlottenburg-Wilmersdorf,404,CW 4,4041240,Messelpark,1544,48.0,112.0,50.0,129.0,203.0,232.0,225,545,838.0,218
4,Charlottenburg-Wilmersdorf,404,CW 4,4041241,Breite Straße,7042,277.0,495.0,129.0,555.0,1299.0,1039.0,1048,2200,3852.0,1033
4,Charlottenburg-Wilmersdorf,404,CW 4,4041342,Schlangenbader Straße,4200,176.0,238.0,61.0,274.0,793.0,523.0,664,1471,2237.0,803
4,Charlottenburg-Wilmersdorf,404,CW 4,4041343,Binger Straße,3579,154.0,213.0,79.0,324.0,750.0,531.0,564,964,1913.0,607
4,Charlottenburg-Wilmersdorf,404,CW 4,4041344,Rüdesheimer Platz,10771,487.0,695.0,265.0,912.0,2302.0,1623.0,1586,2901,5818.0,1800
4,Charlottenburg-Wilmersdorf,405,CW 5,4051445,Eisenzahnstraße,6437,324.0,398.0,137.0,631.0,1727.0,888.0,924,1408,3379.0,1567
4,Charlottenburg-Wilmersdorf,405,CW 5,4051446,Preußenpark,10980,520.0,677.0,208.0,922.0,2734.0,1475.0,1620,2824,5605.0,2918
4,Charlottenburg-Wilmersdorf,405,CW 5,4051447,Ludwigkirchplatz,5348,230.0,286.0,118.0,484.0,1294.0,730.0,771,1435,2801.0,1352
4,Charlottenburg-Wilmersdorf,405,CW 5,4051448,Schaperstraße,9342,405.0,473.0,139.0,761.0,2458.0,1356.0,1368,2382,4691.0,2823
4,Charlottenburg-Wilmersdorf,405,CW 5,4051549,Rathaus Wilmersdorf,4696,292.0,343.0,107.0,490.0,1407.0,620.0,599,838,2359.0,1318
4,Charlottenburg-Wilmersdorf,405,CW 5,4051550,Leon-Jessel-Platz,5690,279.0,364.0,117.0,691.0,1582.0,817.0,793,1047,2864.0,1501
4,Charlottenburg-Wilmersdorf,405,CW 5,4051551,Brabanter Platz,4557,226.0,303.0,102.0,486.0,1296.0,619.0,638,887,2332.0,1165
4,Charlottenburg-Wilmersdorf,405,CW 5,4051652,Nikolsburger Platz,9945,469.0,625.0,219.0,920.0,2417.0,1430.0,1410,2455,5199.0,2513
4,Charlottenburg-Wilmersdorf,405,CW 5,4051653,Prager Platz,7037,277.0,424.0,146.0,617.0,1786.0,1011.0,987,1789,3555.0,1875
4,Charlottenburg-Wilmersdorf,405,CW 5,4051654,Wilhelmsaue,3081,107.0,166.0,31.0,281.0,811.0,380.0,440,865,1642.0,684
4,Charlottenburg-Wilmersdorf,405,CW 5,4051655,Babelsberger Straße,7497,395.0,479.0,151.0,825.0,2254.0,1002.0,987,1404,3748.0,1964
4,Charlottenburg-Wilmersdorf,405,CW 5,4051656,Hildegardstraße,7739,390.0,582.0,184.0,815.0,2151.0,1089.0,1041,1487,3982.0,1524
4,Charlottenburg-Wilmersdorf,406,CW 6,4061757,Forst Grunewald,68,,3.0,,11.0,3.0,16.0,12,23,24.0,14
5,Spandau,501,SPA 1,5010101,Hakenfelde Nord,10658,670.0,871.0,254.0,926.0,2584.0,1356.0,1360,2637,5634.0,1541
5,Spandau,501,SPA 1,5010102,Goltzstraße,8438,645.0,544.0,141.0,961.0,2316.0,917.0,1051,1863,4337.0,1934
5,Spandau,501,SPA 1,5010103,Amorbacher Weg,7630,337.0,527.0,177.0,695.0,1608.0,1053.0,1230,2003,3923.0,702
5,Spandau,501,SPA 1,5010204,Griesingerstraße,3584,236.0,422.0,138.0,356.0,706.0,371.0,439,916,1908.0,884
5,Spandau,501,SPA 1,5010205,An der Tränke,2283,87.0,153.0,73.0,309.0,449.0,378.0,461,373,1160.0,251
5,Spandau,501,SPA 1,5010206,Gütersloher Weg,10738,749.0,959.0,313.0,1044.0,2377.0,1302.0,1351,2643,5520.0,2447
5,Spandau,501,SPA 1,5010207,Darbystraße,11609,768.0,1188.0,370.0,1103.0,2687.0,1438.0,1547,2508,6053.0,2740
5,Spandau,501,SPA 1,5010208,Germersheimer Platz,7705,474.0,585.0,142.0,857.0,2122.0,1042.0,1087,1396,3968.0,1674
5,Spandau,501,SPA 1,5010209,An der Kappe,6112,289.0,441.0,157.0,566.0,1220.0,870.0,935,1634,3094.0,985
5,Spandau,501,SPA 1,5010310,Eckschanze,3953,271.0,300.0,85.0,443.0,1129.0,558.0,523,644,2011.0,964
5,Spandau,501,SPA 1,5010311,Eiswerder,5633,317.0,517.0,174.0,519.0,1261.0,681.0,605,1559,2979.0,1381
5,Spandau,501,SPA 1,5010312,Kurstraße,7463,582.0,726.0,186.0,990.0,2330.0,959.0,827,863,3488.0,3119
