bez_id,pgr_id,plr_id,total,under_6,6-15,15-18,18-27,27-45,45-55,55-65,65_or_more,female,foreigner
08,0830,08301037,10798.0,802,997,309,1131,2636,1297,1437,2189,5562,2608
08,0840,08401138,2897.0,188,269,84,218,532,320,351,935,1556,412
08,0840,08401139,4106.0,198,228,74,372,856,512,636,1230,2114,646
08,0840,08401140,2665.0,140,227,73,252,578,310,449,636,1360,415
08,0840,08401241,8179.0,442,677,253,759,1513,1118,1246,2171,4106,1301
08,0840,08401242,6808.0,352,593,181,547,1198,872,1196,1869,3451,742
08,0840,08401243,10005.0,585,773,241,860,2013,1248,1607,2678,5077,1433
08,0840,08401244,7145.0,401,657,192,549,1303,976,1108,1959,3688,598
08,0840,08401245,3727.0,271,324,119,382,878,520,520,713,1974,408
08,0840,08401246,7882.0,499,716,237,705,1556,1037,1209,1923,4162,915
09,0910,09100101,13108.0,951,1166,294,926,5113,1921,1397,1340,6583,2597
09,0910,09100202,4310.0,298,392,98,296,1420,592,509,705,2196,484
09,0910,09100203,6901.0,288,297,82,650,2153,778,970,1683,3552,967
09,0910,09100304,11766.0,650,709,163,908,3862,1195,1329,2950,6161,1373
09,0910,09100305,4022.0,218,226,57,391,1586,447,428,669,2063,526
09,0910,09100306,3101.0,197,300,116,246,562,423,578,679,1569,543
09,0910,09100407,8446.0,447,543,158,562,1978,916,1198,2644,4493,690
09,0910,09100408,8225.0,538,645,163,784,2640,926,1091,1438,4191,857
09,0910,09100409,3861.0,237,350,161,422,819,674,610,588,1950,401
09,0920,09200510,7562.0,543,562,145,1101,3033,767,708,703,3529,2004
09,0920,09200511,12795.0,988,1050,267,1610,4502,1384,1387,1607,6423,2195
09,0920,09200512,3766.0,231,250,62,576,1467,342,356,482,1787,811
09,0920,09200613,9999.0,733,698,167,1428,3969,917,875,1212,4747,2704
09,0920,09200614,3560.0,161,257,85,250,713,398,570,1126,1806,227
09,0920,09200715,3068.0,323,189,28,537,1328,229,205,229,1435,931
09,0920,09200716,7699.0,494,613,166,828,2316,908,915,1459,3885,1338
09,0920,09200717,9561.0,572,660,198,915,2980,1168,1280,1788,4754,1420
09,0920,09200818,3342.0,216,242,60,315,1068,425,420,596,1708,323
09,0920,09200819,8359.0,582,751,223,852,2687,952,976,1336,4147,1435
09,0930,09300920,12261.0,913,1222,338,945,2950,1634,1973,2286,6230,1173
09,0930,09300921,2740.0,150,256,61,190,661,409,464,549,1392,186
09,0930,09300922,5916.0,417,600,206,513,1403,713,1003,1061,3068,808
09,0930,09300923,8140.0,636,979,260,721,1979,1139,1270,1156,4059,888
